	MX.01	YB03	YB08	YB13	YBO4
1163de440f4b2818462f878c7245382d	0.0	0.0	0.0	4.0	0.0
1168e11aa4cfaaded20759fc36bb3136	0.0	0.0	0.0	7.0	0.0
117ed6e6a1d2f3f0819c17fda8eaac72	0.0	0.0	0.0	4.0	0.0
11839f3a5cda3fbc17c93ccfc1d5ffc1	0.0	0.0	0.0	179.0	0.0
119015f8a47f0480ec9b063eb1c8b537	0.0	0.0	0.0	18.0	0.0
119229a3a8a19b9b8f3cb2c3dc8b149d	0.0	0.0	0.0	26.0	0.0
11e9d0c7fee99afd80937e4daeb4bb32	0.0	0.0	67.0	0.0	0.0
126da874387a814c694efb41ea0d0ef3	0.0	3824.0	0.0	0.0	0.0
12aa0c5e70cef2ebd3501a07e989221e	0.0	0.0	0.0	0.0	9.0
12ba333122e7499eb63d8df0ad7ea92c	0.0	0.0	0.0	0.0	31.0
12c48d0987df82e4c511afb71cc4557b	0.0	0.0	0.0	20.0	0.0
12c4cf4a9b6a4541ef111f02191bae96	0.0	0.0	63.0	33.0	350.0
12c83a9800dcc598d2a0d767c5373b25	0.0	0.0	0.0	0.0	28.0
1311afbd3fc0def56f4d60f73a2e2832	0.0	0.0	0.0	0.0	67.0
1321f35a20b940ba7b2395b86fed8f19	0.0	66.0	0.0	0.0	0.0
132c23273c82ba22775b2d4be2defc69	0.0	0.0	0.0	0.0	3.0
132e2f13b169806c1bf94409823a85c4	0.0	0.0	9.0	0.0	0.0
132e443d92eee271a54f6e0e56cb885c	0.0	0.0	0.0	5.0	0.0
134d5e0145290007a875664fff20c92a	0.0	0.0	0.0	372.0	0.0
1354aeb3ff9981ae85e1100803d2be8c	0.0	0.0	0.0	15.0	0.0
137657cdbcd130ec4db29289b8addb3b	0.0	17.0	0.0	0.0	0.0
138b7289679ef7ef43704d5849e70f0b	0.0	0.0	9.0	0.0	0.0
139eb9d2d18f3478c5820c93c87c2554	18.0	0.0	0.0	0.0	0.0
13d3b5be4e069a5cd54219a9b7fe18ce	0.0	0.0	4.0	0.0	0.0
13f5ba36b496b2cfe7cb575ecf9d4019	0.0	0.0	0.0	279.0	0.0
14014a6c26ee57f86c4f2b9a2aab3969	0.0	0.0	0.0	0.0	24.0
1440fb78d33026b6ec7d57fc61470cb8	0.0	0.0	0.0	6.0	0.0
14537a8e62d3cffebeafb56c99dd232b	0.0	0.0	0.0	219.0	0.0
1475307a6ee4d984963212eb67d8c644	0.0	0.0	27.0	0.0	0.0
148e5972e3b3164ab9b6343064bce98d	0.0	0.0	11.0	0.0	0.0
14afc94ba4a8236618fc010d83e89fd9	0.0	0.0	51.0	0.0	0.0
14e41772163d0dc2269600f6b131cccd	15.0	0.0	0.0	0.0	0.0
1505dfcdeaa305f71755cba99ddfe70e	2.0	0.0	0.0	0.0	0.0
1589dbb2ceb6e75988ce52e18efa87bc	0.0	0.0	0.0	13.0	0.0
15a4e55590865ca45adaa7634cb2bd3f	0.0	0.0	272.0	0.0	0.0
15c3c5071c5a99054f1641d359493aee	0.0	0.0	0.0	3.0	0.0
160c3e014d739f8572a77a914f5f04a3	0.0	0.0	0.0	24.0	0.0
162701ea9660a18ab677e5ae7b3aaed7	0.0	293.0	0.0	0.0	0.0
1636f774f561ea7dc590a2a30e59808d	0.0	0.0	0.0	3.0	0.0
166557b1c45f3d722fb3e2640fc7a30f	0.0	0.0	4.0	0.0	0.0
16a1f3038a9995a4a03b570bd8d616d0	0.0	0.0	0.0	3.0	0.0
16dcac37624562b57452f41153a7edc5	0.0	0.0	0.0	22.0	0.0
16fd5a8c95403dfc9aad2467a5b71a0a	0.0	2979.0	0.0	0.0	0.0
16ffd840181fc26bd4998e2393895310	0.0	6.0	0.0	0.0	0.0
170d23e88d3e5ac5b2ca97e33bfda259	0.0	0.0	523.0	0.0	23.0
1756f7b7891ef43d46010e5f34aa9239	0.0	0.0	0.0	0.0	12.0
17d1bdcb893bb7bef1bc274e06267093	0.0	0.0	0.0	0.0	2.0
180f215e6d9b398627f110e3ce697307	8.0	0.0	0.0	0.0	0.0
1811ee84ee696ef6cd76a7698cbe544b	0.0	357.0	0.0	0.0	0.0
18681542b350ad6afa1c6acfd3b54186	0.0	0.0	0.0	3.0	0.0
187b3b240f1a3c173667b32cadd7138c	2.0	0.0	0.0	0.0	0.0
18cb835b9b1cb6405f15a6e4a939d9f5	0.0	0.0	0.0	0.0	5.0
18ebc2fa6fa18057f6c238df529e4718	0.0	0.0	0.0	0.0	24.0
19129e44054820b63e84a48768fe886a	0.0	404.0	0.0	0.0	0.0
1990206a10aae9f6ed2e896624706a4d	0.0	0.0	0.0	59.0	0.0
199b47004e629d172bc2a98d67e1ec5d	0.0	170.0	0.0	0.0	0.0
19ae79651163f66e8b3aa904fd7c1a4e	0.0	0.0	0.0	0.0	3.0
19e5ae656e17b935516000748bd6ad60	0.0	10.0	0.0	0.0	0.0
1a5502272d6cd0f363bcedd291407726	0.0	0.0	0.0	0.0	9.0
1acd9d5bb5a302aeb34808af10b767bd	0.0	0.0	0.0	0.0	4.0
1b03d86a9059ed4cc9dd84b659d785dc	0.0	0.0	0.0	272.0	0.0
1b0dcdf50c21871a8e1a96861cf9654c	0.0	8.0	0.0	0.0	0.0
1b21d2b71f96b4a59b392aee9aa1d655	0.0	0.0	11.0	0.0	238.0
